serial_number,list_year,date_recorded,town,address,assessed_value,sale_amount,sales_ratio,property_type,residential_type,years_until_sold
60690,2006,3/14/2007,Norwalk,27 FERRIS AVE,361270,649000.0,0.556656394,Two Family,Two Family,1
70465,2007,5/22/2008,East Hartford,65 WELLS AVE,142590,151000.0,0.944304636,Two Family,Two Family,1
61312,2006,4/24/2007,Waterbury,45-47 LAVAL ST,68950,155000.0,0.44483871,Two Family,Two Family,1
71766,2007,9/26/2008,Bridgeport,100-106 MAPLE STREET,88270,213500.0,0.413442623,Two Family,Two Family,1
60281,2006,11/2/2006,Waterbury,29-31 SILVER ST,78400,210800.0,0.371916509,Three Family,Three Family,0
70257,2007,11/7/2007,Bridgeport,574-576 GRAND ST,109131,255000.0,0.427964706,Two Family,Two Family,0
60695,2006,1/18/2007,Waterbury,31 KATIE LN,100100,275000.0,0.364,Two Family,Two Family,1
60255,2006,8/27/2007,Suffield,926 THOMPSONVILLE RD,102760,245000.0,0.419428571,Three Family,Three Family,1
60067,2006,10/16/2006,Waterbury,35 BENNETT AVE,90650,260000.0,0.348653846,Two Family,Two Family,0
60925,2006,8/1/2007,Stratford,922 EAST BROADWAY,223160,444500.0,0.502047244,Three Family,Three Family,1
71781,2007,9/30/2008,Bridgeport,104-106 LINWOOD AVENUE,168870,260000.0,0.6495,Three Family,Three Family,1
60538,2006,5/24/2007,Torrington,424 BRIGHTWOOD AVE,86800,22500.0,3.857777778,Two Family,Two Family,1
60986,2006,3/7/2007,Waterbury,30 COOKE ST,54810,230000.0,0.238304348,Three Family,Three Family,1
61721,2006,7/13/2007,Waterbury,353 HIGHLAND AVE,102410,329600.0,0.310709951,Three Family,Three Family,1
70069,2007,10/22/2007,New Haven,84 SHEFFIELD AVE,147000,240000.0,0.6125,Three Family,Three Family,0
60027,2006,1/9/2007,Woodbridge,1679 LITCHFIELD TPKE,215950,350000.0,0.617,Two Family,Two Family,1
70216,2007,1/31/2008,Norwich,41 LAKE ST,46000,50000.0,0.92,Three Family,Three Family,1
70380,2007,12/5/2007,Bridgeport,60-62 FOURTH ST,109750,380000.0,0.288815789,Three Family,Three Family,0
60094,2006,12/20/2006,Windham,60 OAK ST,120020,239000.0,0.502175732,Three Family,Three Family,0
70042,2007,10/26/2007,Branford,100 ROGERS ST,181500,375000.0,0.484,Two Family,Two Family,0
60382,2006,11/20/2006,Waterbury,60 HIGH ST,36960,130000.0,0.284307692,Two Family,Two Family,0
70027,2007,12/17/2007,Derby,14-16 COTTAGE ST,175980,160000.0,1.099875,Three Family,Three Family,0
70804,2007,7/2/2008,New Haven,256 SHERMAN AVE,167510,247100.0,0.677903683,Two Family,Two Family,1
70668,2007,7/29/2008,Stratford,151-153 KNOWLTON ST,151410,210000.0,0.721,Two Family,Two Family,1
60503,2006,8/22/2007,Westport,104 BEACHSIDE AVE,6706800,15100000.0,0.44415894,Two Family,Two Family,1
62153,2006,7/31/2007,Waterbury,33 GILES ST,52500,59000.0,0.889830508,Two Family,Two Family,1
70194,2007,12/21/2007,East Hartford,25 ELMER ST,164800,205000.0,0.803902439,Two Family,Two Family,0
60112,2006,8/16/2007,Woodbridge,25 & 26 METTLER ST,143990,260000.0,0.553807692,Two Family,Two Family,1
70999,2007,4/15/2008,Bridgeport,1306-1308 PEMBROKE ST,91100,265519.0,0.343101624,Three Family,Three Family,1
70023,2007,10/31/2007,New London,15 PERRY ST,119350,218000.0,0.547477064,Two Family,Two Family,0
60035,2006,10/6/2006,Norwalk,5 VAIL ST,235900,433000.0,0.544803695,Two Family,Two Family,0
70390,2007,3/6/2008,Hartford,71-73 MADISON ST,52016,255000.0,0.203984314,Three Family,Three Family,1
70192,2007,6/2/2008,New London,12 CENTER ST,139230,115000.0,1.210695652,Four Family,Four Family,1
60649,2006,7/3/2007,Wallingford,28 CLINTON PL,165130,235000.0,0.702680851,Two Family,Two Family,1
71313,2007,6/18/2008,Bridgeport,71-73 HARBOR AVE,174720,285000.0,0.613052632,Two Family,Two Family,1
60065,2006,10/25/2006,Torrington,241 RIVERSIDE AVE,100600,87000.0,1.156321839,Three Family,Three Family,0
70181,2007,1/7/2008,Torrington,351 MAIN ST,49600,50000.0,0.992,Two Family,Two Family,1
61640,2006,6/25/2007,Waterbury,23 WALL ST,35420,154000.0,0.23,Three Family,Three Family,1
60120,2006,2/20/2007,Winchester,48 CENTER ST,62930,155000.0,0.406,Two Family,Two Family,1
70009,2007,10/30/2007,Derby,7-9 MASON ST,188090,298000.0,0.631174497,Two Family,Two Family,0
70383,2007,12/5/2007,Bridgeport,62 BRYANT ST,76580,42500.0,1.801882353,Two Family,Two Family,0
70030,2007,3/25/2008,Sprague,229 HIGH ST,108700,86250.0,1.260289855,Two Family,Two Family,1
70771,2007,6/17/2008,Norwalk,11 COUCH ST,242340,350000.0,0.6924,Two Family,Two Family,1
60202,2006,11/1/2006,Waterbury,305 WALNUT ST,52850,164300.0,0.321667681,Three Family,Three Family,0
70804,2007,3/6/2008,Bridgeport,52-54 REMINGTON ST.,111940,183000.0,0.611693989,Three Family,Three Family,1
70809,2007,8/29/2008,Hartford,106-108 LOVE LN,30322,75000.0,0.404293333,Two Family,Two Family,1
70003,2007,10/3/2007,East Granby,19 NORTH MAIN ST,203600,365000.0,0.557808219,Two Family,Two Family,0
